#,Symbol,Weight
1,AAPL,6.878894
2,MSFT,6.090764
3,AMZN,3.075959
4,GOOGL,2.184382
5,GOOG,2.016544
6,TSLA,1.920758
7,BRK.B,1.545846
8,UNH,1.481787
9,JNJ,1.427355
10,NVDA,1.206642
11,META,1.192438
12,XOM,1.103289
13,PG,1.058652
14,JPM,1.021934
15,V,1.01933
16,PFE,0.907692
17,HD,0.900684
18,CVX,0.853494
19,MA,0.84549
20,ABBV,0.821811
21,LLY,0.792954
22,KO,0.749519
23,PEP,0.723089
24,MRK,0.713861
25,BAC,0.685745
26,COST,0.676345
27,TMO,0.659517
28,VZ,0.645148
29,AVGO,0.619502
30,ABT,0.582068
31,MCD,0.569821
32,ADBE,0.559871
33,CSCO,0.548422
34,CMCSA,0.543537
35,ACN,0.537823
36,WMT,0.535647
37,DIS,0.53126
38,CRM,0.530517
39,DHR,0.519313
40,BMY,0.4883
41,NEE,0.479665
42,INTC,0.472638
43,QCOM,0.463477
44,WFC,0.463373
45,T,0.453062
46,PM,0.442817
47,TXN,0.435877
48,RTX,0.430862
49,LIN,0.419085
50,NKE,0.41803
51,UPS,0.414292
52,AMGN,0.403861
53,UNP,0.400701
54,AMD,0.391234
55,IBM,0.384416
56,CVS,0.375341
57,SPGI,0.372252
58,LOW,0.365348
59,MDT,0.364715
60,AMT,0.360542
61,HON,0.359022
62,ELV,0.355977
63,INTU,0.349574
64,ORCL,0.343619
65,COP,0.340258
66,MS,0.326705
67,GS,0.309803
68,LMT,0.302901
69,NOW,0.301402
70,SCHW,0.295329
71,CAT,0.290652
72,ADP,0.276907
73,SBUX,0.276737
74,C,0.27663
75,PLD,0.273015
76,CI,0.26952
77,BLK,0.267589
78,AXP,0.263098
79,MDLZ,0.262927
80,PYPL,0.259612
81,DE,0.25926
82,ZTS,0.255059
83,NFLX,0.251871
84,CB,0.248907
85,DUK,0.248091
86,AMAT,0.245735
87,TMUS,0.243297
88,GILD,0.239195
89,ADI,0.239035
90,MMC,0.238342
91,BA,0.235315
92,MO,0.2297
93,VRTX,0.229007
94,SO,0.228936
95,ISRG,0.228053
96,CME,0.227832
97,CCI,0.225824
98,MMM,0.223082
99,BKNG,0.218701
100,PGR,0.214219
101,NOC,0.213917
102,BDX,0.212258
103,GE,0.21099
104,TJX,0.21061
105,TGT,0.208216
106,SYK,0.204651
107,REGN,0.204293
108,PNC,0.203076
109,MU,0.200322
110,CL,0.199815
111,D,0.195106
112,TFC,0.192496
113,CSX,0.191779
114,USB,0.190671
115,EOG,0.187345
116,EW,0.186418
117,HUM,0.18602
118,MRNA,0.185558
119,ATVI,0.184693
120,EQIX,0.180149
121,WM,0.178031
122,EL,0.177371
123,AON,0.177276
124,DG,0.17603
125,LRCX,0.175727
126,FIS,0.175388
127,SHW,0.1739
128,FDX,0.167218
129,FISV,0.164718
130,NSC,0.164592
131,BSX,0.164588
132,OXY,0.16435
133,CHTR,0.163373
134,ICE,0.163234
135,ITW,0.157974
136,APD,0.15669
137,CNC,0.156617
138,GD,0.154311
139,ETN,0.154037
140,PXD,0.149176
141,SNPS,0.147864
142,SLB,0.147596
143,AEP,0.147409
144,PSA,0.146752
145,MCK,0.146486
146,EMR,0.145795
147,KLAC,0.145258
148,NEM,0.14343
149,GM,0.143331
150,SRE,0.14083
151,LHX,0.139766
152,MCO,0.13912
153,F,0.138686
154,GIS,0.138452
155,MPC,0.137062
156,KMB,0.136633
157,CDNS,0.13421
158,SYY,0.132549
159,VLO,0.132292
160,AZO,0.131782
161,MET,0.13172
162,ORLY,0.131543
163,EXC,0.130925
164,COF,0.129888
165,ROP,0.129534
166,FTNT,0.128518
167,IQV,0.127065
168,O,0.126265
169,ADM,0.125561
